country,continent,lifeExp,pop,gdpPercap
Argentina,Americas,75.32,40301927,12779.38
Australia,Oceania,81.23,20434176,34435.37
Bangladesh,Asia,64.06,150448339,1391.25
Brazil,Americas,72.39,190010647,9065.80
Canada,Americas,80.65,33390141,36319.24
China,Asia,72.96,1318683096,4959.11
Egypt,Africa,71.34,80264543,5581.18
Ethiopia,Africa,52.95,76511887,1075.81
France,Europe,80.66,61083916,30470.02
Germany,Europe,79.41,82400996,32170.37
India,Asia,64.70,1110396331,2452.21
Indonesia,Asia,70.65,223547000,3540.65
Iran,Asia,70.96,69453570,11605.71
Italy,Europe,80.55,58147733,28569.72
Japan,Asia,82.60,127467972,31656.07
Kenya,Africa,54.11,35610177,1463.25
Mexico,Americas,76.20,108700891,11977.57
Netherlands,Europe,79.76,16570613,36797.93
Nigeria,Africa,46.86,135031164,2013.98
Pakistan,Asia,65.48,169270617,2605.95
Philippines,Asia,71.69,91077287,3190.48
Russia,Europe,65.48,142498515,14617.00
South Africa,Africa,49.34,43997828,9269.93
South Korea,Asia,78.62,49044790,23348.14
Spain,Europe,80.94,40448191,28821.06
Sweden,Europe,80.88,9031088,33859.75
Thailand,Asia,70.62,65068149,7458.39
Turkey,Europe,71.78,71158647,8458.28
United Kingdom,Europe,79.43,60776238,33203.26
United States,Americas,78.24,301139947,42951.65
Vietnam,Asia,74.25,85262356,2441.58
